observationLevels[REPLICATION]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	rdt
2	2806470-2005	gnpis.lot:'DI05007'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwNw==	DI05007	DI05007	2005	NA	65,63
2	2806440-2005	gnpis.lot:'RE04017'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNDAxNw==	RE04017	RE04017	2005	NA	66,56
2	2806456-2005	gnpis.lot:'CF03326'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMzMyNg==	CF03326	CF03326	2005	NA	70,35
1	2806427-2005	gnpis.lot:'DI05010'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAxMA==	DI05010	DI05010	2005	NA	82,21
1	2806409-2005	gnpis.lot:'RE04004'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNDAwNA==	RE04004	RE04004	2005	NA	66,53
2	2806426-2005	gnpis.lot:'CF04264'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNDI2NA==	CF04264	CF04264	2005	NA	72,11
1	2806481-2005	gnpis.lot:'DI05001'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwMQ==	DI05001	DI05001	2005	NA	72,34
2	2806422-2005	gnpis.lot:'LM04010'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6TE0wNDAxMA==	LM04010	LM04010	2005	NA	85,4
2	2806424-2005	gnpis.lot:'LM04017'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6TE0wNDAxNw==	LM04017	LM04017	2005	NA	72,53
2	2806436-2005	gnpis.lot:'EM04081'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JSR1VZVw==	EM04081	29882	2005	NA	75,4
2	2806484-2005	gnpis.lot:'LM04022'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6TE0wNDAyMg==	LM04022	LM04022	2005	NA	71,68
1	2806485-2005	gnpis.lot:'CF03092'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMzA5Mg==	CF03092	CF03092	2005	NA	83,93
2	2806464-2005	gnpis.lot:'RE03019'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05NT1lENg==	RE03019	28973	2005	NA	67,28
2	2806472-2005	gnpis.lot:'DI05006'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwNg==	DI05006	DI05006	2005	NA	63,7
2	2806480-2005	gnpis.lot:'DI05002'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwMg==	DI05002	DI05002	2005	NA	68,8
2	2806410-2005	gnpis.lot:'RE04004'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNDAwNA==	RE04004	RE04004	2005	NA	65,6
1	2806415-2005	gnpis.lot:'RE04009'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZWNVVMRw==	RE04009	28975	2005	NA	77,16
1	2806487-2005	gnpis.lot:'RE03099'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMzA5OQ==	RE03099	RE03099	2005	NA	71,29
2	2806438-2005	gnpis.lot:'EM04115'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNDExNQ==	EM04115	EM04115	2005	NA	77,63
1	2806467-2005	gnpis.lot:'DI05008'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwOA==	DI05008	DI05008	2005	NA	70,67
1	2806439-2005	gnpis.lot:'RE04017'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNDAxNw==	RE04017	RE04017	2005	NA	70,68
2	2806468-2005	gnpis.lot:'DI05008'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwOA==	DI05008	DI05008	2005	NA	64,8
2	2806418-2005	gnpis.lot:'CF04004'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNDAwNA==	CF04004	CF04004	2005	NA	78,43
2	2806444-2005	gnpis.lot:'Farandole'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZZUEhPTw==	FARANDOLE	20225	2005	NA	67,25
2	2806466-2005	gnpis.lot:'DI05009'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwOQ==	DI05009	DI05009	2005	NA	65,32
1	2806441-2005	gnpis.lot:'Caphorn'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lINEk4Ug==	CAPHORN	20443	2005	NA	75,33
2	2806478-2005	gnpis.lot:'DI05003'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwMw==	DI05003	DI05003	2005	NA	82,19
2	2806414-2005	gnpis.lot:'RE04008'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNDAwOA==	RE04008	RE04008	2005	NA	71,63
2	2806482-2005	gnpis.lot:'DI05001'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwMQ==	DI05001	DI05001	2005	NA	68,78
2	2806420-2005	gnpis.lot:'RE03012'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMzAxMg==	RE03012	RE03012	2005	NA	71,36
2	2806412-2005	gnpis.lot:'RE04005'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNDAwNQ==	RE04005	RE04005	2005	NA	82,58
1	2806447-2005	gnpis.lot:'Charger'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBBTERRQQ==	CHARGER	13431	2005	NA	75,13
2	2806486-2005	gnpis.lot:'CF03092'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMzA5Mg==	CF03092	CF03092	2005	NA	69,97
2	2806452-2005	gnpis.lot:'EM04187'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNDE4Nw==	EM04187	EM04187	2005	NA	78,31
2	2806476-2005	gnpis.lot:'DI05004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0hUWU9HWg==	DI05004	29888	2005	NA	87,32
2	2806428-2005	gnpis.lot:'DI05010'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAxMA==	DI05010	DI05010	2005	NA	67,97
1	2806479-2005	gnpis.lot:'DI05002'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwMg==	DI05002	DI05002	2005	NA	66,3
1	2806473-2005	gnpis.lot:'DI05005'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwNQ==	DI05005	DI05005	2005	NA	67,54
1	2806435-2005	gnpis.lot:'EM04081'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JSR1VZVw==	EM04081	29882	2005	NA	75,4
2	2806460-2005	gnpis.lot:'LM04003'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6TE0wNDAwMw==	LM04003	LM04003	2005	NA	62,08
1	2806433-2005	gnpis.lot:'EM04149'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNDE0OQ==	EM04149	EM04149	2005	NA	65,91
1	2806475-2005	gnpis.lot:'DI05004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0hUWU9HWg==	DI05004	29888	2005	NA	74,45
2	2806416-2005	gnpis.lot:'RE04009'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZWNVVMRw==	RE04009	28975	2005	NA	78,89
2	2806446-2005	gnpis.lot:'RE04012'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNDAxMg==	RE04012	RE04012	2005	NA	68,3
1	2806459-2005	gnpis.lot:'LM04003'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6TE0wNDAwMw==	LM04003	LM04003	2005	NA	73,17
1	2806421-2005	gnpis.lot:'LM04010'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6TE0wNDAxMA==	LM04010	LM04010	2005	NA	81,27
1	2806461-2005	gnpis.lot:'CF04215'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNDIxNQ==	CF04215	CF04215	2005	NA	71,85
1	2806429-2005	gnpis.lot:'EM04145'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZRTFRMWQ==	EM04145	32776	2005	NA	75,81
2	2806474-2005	gnpis.lot:'DI05005'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwNQ==	DI05005	DI05005	2005	NA	60,98
1	2806471-2005	gnpis.lot:'DI05006'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwNg==	DI05006	DI05006	2005	NA	54,35
