Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Characteristics[Infraspecific Name]	Characteristics[Material Source ID]	Characteristics[Material Source DOI]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]	Factor Value[itk]
CF99175	NCBI:4565	Triticum	aestivum	subsp. aestivum	CF99175	gnpis_pui:unknown:Wheat:CF99175	sample collection	CF99175itkfi	VIRTUAL_TRIAL		low inputs
CHARGER	NCBI:4565	Triticum	aestivum	subsp. aestivum	13431	https://doi.org/10.15454/0ALDQA	sample collection	Chargeritkt	VIRTUAL_TRIAL		treated
CHARGER	NCBI:4565	Triticum	aestivum	subsp. aestivum	13431	https://doi.org/10.15454/0ALDQA	sample collection	Chargeritkfi	VIRTUAL_TRIAL		low inputs
DI00010	NCBI:4565	Triticum	aestivum	subsp. aestivum	23830	https://doi.org/10.15454/MAUZZM	sample collection	DI00010itkt	VIRTUAL_TRIAL		treated
DI00010	NCBI:4565	Triticum	aestivum	subsp. aestivum	23830	https://doi.org/10.15454/MAUZZM	sample collection	DI00010itkfi	VIRTUAL_TRIAL		low inputs
DI00011	NCBI:4565	Triticum	aestivum	subsp. aestivum	DI00011	gnpis_pui:unknown:Wheat:DI00011	sample collection	DI00011itkfi	VIRTUAL_TRIAL		low inputs
DI00011	NCBI:4565	Triticum	aestivum	subsp. aestivum	DI00011	gnpis_pui:unknown:Wheat:DI00011	sample collection	DI00011itkt	VIRTUAL_TRIAL		treated
DI00012	NCBI:4565	Triticum	aestivum	subsp. aestivum	DI00012	gnpis_pui:unknown:Wheat:DI00012	sample collection	DI00012itkt	VIRTUAL_TRIAL		treated
DI00012	NCBI:4565	Triticum	aestivum	subsp. aestivum	DI00012	gnpis_pui:unknown:Wheat:DI00012	sample collection	DI00012itkfi	VIRTUAL_TRIAL		low inputs
DI00013	NCBI:4565	Triticum	aestivum	subsp. aestivum	DI00013	gnpis_pui:unknown:Wheat:DI00013	sample collection	DI00013itkt	VIRTUAL_TRIAL		treated
DI00013	NCBI:4565	Triticum	aestivum	subsp. aestivum	DI00013	gnpis_pui:unknown:Wheat:DI00013	sample collection	DI00013itkfi	VIRTUAL_TRIAL		low inputs
DI00014	NCBI:4565	Triticum	aestivum	subsp. aestivum	DI00014	gnpis_pui:unknown:Wheat:DI00014	sample collection	DI00014itkt	VIRTUAL_TRIAL		treated
DI00014	NCBI:4565	Triticum	aestivum	subsp. aestivum	DI00014	gnpis_pui:unknown:Wheat:DI00014	sample collection	DI00014itkfi	VIRTUAL_TRIAL		low inputs
DI00015	NCBI:4565	Triticum	aestivum	subsp. aestivum	DI00015	gnpis_pui:unknown:Wheat:DI00015	sample collection	DI00015itkfi	VIRTUAL_TRIAL		low inputs
DI00015	NCBI:4565	Triticum	aestivum	subsp. aestivum	DI00015	gnpis_pui:unknown:Wheat:DI00015	sample collection	DI00015itkt	VIRTUAL_TRIAL		treated
DI00016	NCBI:4565	Triticum	aestivum	subsp. aestivum	29119	https://doi.org/10.15454/KODDU6	sample collection	DI00016itkt	VIRTUAL_TRIAL		treated
DI00016	NCBI:4565	Triticum	aestivum	subsp. aestivum	29119	https://doi.org/10.15454/KODDU6	sample collection	DI00016itkfi	VIRTUAL_TRIAL		low inputs
DI00017	NCBI:4565	Triticum	aestivum	subsp. aestivum	DI00017	gnpis_pui:unknown:Wheat:DI00017	sample collection	DI00017itkt	VIRTUAL_TRIAL		treated
DI00017	NCBI:4565	Triticum	aestivum	subsp. aestivum	DI00017	gnpis_pui:unknown:Wheat:DI00017	sample collection	DI00017itkfi	VIRTUAL_TRIAL		low inputs
DI00018	NCBI:4565	Triticum	aestivum	subsp. aestivum	DI00018	gnpis_pui:unknown:Wheat:DI00018	sample collection	DI00018itkt	VIRTUAL_TRIAL		treated
DI00018	NCBI:4565	Triticum	aestivum	subsp. aestivum	DI00018	gnpis_pui:unknown:Wheat:DI00018	sample collection	DI00018itkfi	VIRTUAL_TRIAL		low inputs
EM00008	NCBI:4565	Triticum	aestivum	subsp. aestivum	EM00008	gnpis_pui:unknown:Wheat:EM00008	sample collection	EM00008itkt	VIRTUAL_TRIAL		treated
EM00008	NCBI:4565	Triticum	aestivum	subsp. aestivum	EM00008	gnpis_pui:unknown:Wheat:EM00008	sample collection	EM00008itkfi	VIRTUAL_TRIAL		low inputs
EM00009	NCBI:4565	Triticum	aestivum	subsp. aestivum	EM00009	gnpis_pui:unknown:Wheat:EM00009	sample collection	EM00009itkt	VIRTUAL_TRIAL		treated
EM00009	NCBI:4565	Triticum	aestivum	subsp. aestivum	EM00009	gnpis_pui:unknown:Wheat:EM00009	sample collection	EM00009itkfi	VIRTUAL_TRIAL		low inputs
EM00010	NCBI:4565	Triticum	aestivum	subsp. aestivum	EM00010	gnpis_pui:unknown:Wheat:EM00010	sample collection	EM00010itkfi	VIRTUAL_TRIAL		low inputs
EM00010	NCBI:4565	Triticum	aestivum	subsp. aestivum	EM00010	gnpis_pui:unknown:Wheat:EM00010	sample collection	EM00010itkt	VIRTUAL_TRIAL		treated
EM00011	NCBI:4565	Triticum	aestivum	subsp. aestivum	EM00011	gnpis_pui:unknown:Wheat:EM00011	sample collection	EM00011itkt	VIRTUAL_TRIAL		treated
EM00011	NCBI:4565	Triticum	aestivum	subsp. aestivum	EM00011	gnpis_pui:unknown:Wheat:EM00011	sample collection	EM00011itkfi	VIRTUAL_TRIAL		low inputs
EM00012	NCBI:4565	Triticum	aestivum	subsp. aestivum	EM00012	gnpis_pui:unknown:Wheat:EM00012	sample collection	EM00012itkfi	VIRTUAL_TRIAL		low inputs
EM00012	NCBI:4565	Triticum	aestivum	subsp. aestivum	EM00012	gnpis_pui:unknown:Wheat:EM00012	sample collection	EM00012itkt	VIRTUAL_TRIAL		treated
EM00013	NCBI:4565	Triticum	aestivum	subsp. aestivum	EM00013	gnpis_pui:unknown:Wheat:EM00013	sample collection	EM00013itkfi	VIRTUAL_TRIAL		low inputs
EM00013	NCBI:4565	Triticum	aestivum	subsp. aestivum	EM00013	gnpis_pui:unknown:Wheat:EM00013	sample collection	EM00013itkt	VIRTUAL_TRIAL		treated
EM00014	NCBI:4565	Triticum	aestivum	subsp. aestivum	EM00014	gnpis_pui:unknown:Wheat:EM00014	sample collection	EM00014itkt	VIRTUAL_TRIAL		treated
EM00014	NCBI:4565	Triticum	aestivum	subsp. aestivum	EM00014	gnpis_pui:unknown:Wheat:EM00014	sample collection	EM00014itkfi	VIRTUAL_TRIAL		low inputs
ISENGRAIN	NCBI:4565	Triticum	aestivum	subsp. aestivum	13433	https://doi.org/10.15454/YZZGYB	sample collection	Isengrainitkt	VIRTUAL_TRIAL		treated
ISENGRAIN	NCBI:4565	Triticum	aestivum	subsp. aestivum	13433	https://doi.org/10.15454/YZZGYB	sample collection	Isengrainitkfi	VIRTUAL_TRIAL		low inputs
LM00002	NCBI:4565	Triticum	aestivum	subsp. aestivum	LM00002	gnpis_pui:unknown:Wheat:LM00002	sample collection	LM00002itkfi	VIRTUAL_TRIAL		low inputs
LM00002	NCBI:4565	Triticum	aestivum	subsp. aestivum	LM00002	gnpis_pui:unknown:Wheat:LM00002	sample collection	LM00002itkt	VIRTUAL_TRIAL		treated
ORNICAR	NCBI:4565	Triticum	aestivum	subsp. aestivum	13471	https://doi.org/10.15454/ZUZBM9	sample collection	Ornicaritkt	VIRTUAL_TRIAL		treated
ORNICAR	NCBI:4565	Triticum	aestivum	subsp. aestivum	13471	https://doi.org/10.15454/ZUZBM9	sample collection	Ornicaritkfi	VIRTUAL_TRIAL		low inputs
RE00006	NCBI:4565	Triticum	aestivum	subsp. aestivum	RE00006	gnpis_pui:unknown:Wheat:RE00006	sample collection	RE00006itkfi	VIRTUAL_TRIAL		low inputs
RE00006	NCBI:4565	Triticum	aestivum	subsp. aestivum	RE00006	gnpis_pui:unknown:Wheat:RE00006	sample collection	RE00006itkt	VIRTUAL_TRIAL		treated
RE00007	NCBI:4565	Triticum	aestivum	subsp. aestivum	RE00007	gnpis_pui:unknown:Wheat:RE00007	sample collection	RE00007itkfi	VIRTUAL_TRIAL		low inputs
RE00007	NCBI:4565	Triticum	aestivum	subsp. aestivum	RE00007	gnpis_pui:unknown:Wheat:RE00007	sample collection	RE00007itkt	VIRTUAL_TRIAL		treated
RE00008	NCBI:4565	Triticum	aestivum	subsp. aestivum	29163	https://doi.org/10.15454/PZEUL6	sample collection	RE00008itkfi	VIRTUAL_TRIAL		low inputs
RE00008	NCBI:4565	Triticum	aestivum	subsp. aestivum	29163	https://doi.org/10.15454/PZEUL6	sample collection	RE00008itkt	VIRTUAL_TRIAL		treated
RE00009	NCBI:4565	Triticum	aestivum	subsp. aestivum	29164	https://doi.org/10.15454/NP8MBD	sample collection	RE00009itkfi	VIRTUAL_TRIAL		low inputs
RE00009	NCBI:4565	Triticum	aestivum	subsp. aestivum	29164	https://doi.org/10.15454/NP8MBD	sample collection	RE00009itkt	VIRTUAL_TRIAL		treated
RE99107	NCBI:4565	Triticum	aestivum	subsp. aestivum	RE99107	gnpis_pui:unknown:Wheat:RE99107	sample collection	RE99107itkt	VIRTUAL_TRIAL		treated
RE99107	NCBI:4565	Triticum	aestivum	subsp. aestivum	RE99107	gnpis_pui:unknown:Wheat:RE99107	sample collection	RE99107itkfi	VIRTUAL_TRIAL		low inputs
RE99111	NCBI:4565	Triticum	aestivum	subsp. aestivum	RE99111	gnpis_pui:unknown:Wheat:RE99111	sample collection	RE99111itkt	VIRTUAL_TRIAL		treated
RE99111	NCBI:4565	Triticum	aestivum	subsp. aestivum	RE99111	gnpis_pui:unknown:Wheat:RE99111	sample collection	RE99111itkfi	VIRTUAL_TRIAL		low inputs
RE99123	NCBI:4565	Triticum	aestivum	subsp. aestivum	29194	https://doi.org/10.15454/WJONCW	sample collection	2	REPLICATION	[replicate]2; [REPLICATION]2	low inputs
RE99123	NCBI:4565	Triticum	aestivum	subsp. aestivum	29194	https://doi.org/10.15454/WJONCW	sample collection	RE99123itkt	VIRTUAL_TRIAL		treated
RE99123	NCBI:4565	Triticum	aestivum	subsp. aestivum	29194	https://doi.org/10.15454/WJONCW	sample collection	RE99123itkfi	VIRTUAL_TRIAL		low inputs
RE99133	NCBI:4565	Triticum	aestivum	subsp. aestivum	RE99133	gnpis_pui:unknown:Wheat:RE99133	sample collection	RE99133itkfi	VIRTUAL_TRIAL		low inputs
RE99133	NCBI:4565	Triticum	aestivum	subsp. aestivum	RE99133	gnpis_pui:unknown:Wheat:RE99133	sample collection	RE99133itkt	VIRTUAL_TRIAL		treated
SOISSONS	NCBI:4565	Triticum	aestivum	subsp. aestivum	6607	https://doi.org/10.15454/ZRMNO2	sample collection	Soissonsitkfi	VIRTUAL_TRIAL		low inputs
SOISSONS	NCBI:4565	Triticum	aestivum	subsp. aestivum	6607	https://doi.org/10.15454/ZRMNO2	sample collection	Soissonsitkt	VIRTUAL_TRIAL		treated
TREMIE	NCBI:4565	Triticum	aestivum	subsp. aestivum	7043	https://doi.org/10.15454/9YBOHR	sample collection	Tremieitkfi	VIRTUAL_TRIAL		low inputs
TREMIE	NCBI:4565	Triticum	aestivum	subsp. aestivum	7043	https://doi.org/10.15454/9YBOHR	sample collection	Tremieitkt	VIRTUAL_TRIAL		treated
