Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Characteristics[Infraspecific Name]	Characteristics[Material Source ID]	Characteristics[Material Source DOI]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]	Factor Value[itk]
DI05008	NCBI:4565	Triticum	aestivum	subsp. aestivum	DI05008	gnpis_pui:unknown:Wheat:DI05008	sample collection	DI05008itkt	VIRTUAL_TRIAL		treated
DI05009	NCBI:4565	Triticum	aestivum	subsp. aestivum	DI05009	gnpis_pui:unknown:Wheat:DI05009	sample collection	DI05009itkt	VIRTUAL_TRIAL		treated
DI05010	NCBI:4565	Triticum	aestivum	subsp. aestivum	DI05010	gnpis_pui:unknown:Wheat:DI05010	sample collection	DI05010itkt	VIRTUAL_TRIAL		treated
EM04081	NCBI:4565	Triticum	aestivum	subsp. aestivum	29882	https://doi.org/10.15454/RRGUYW	sample collection	EM04081itkt	VIRTUAL_TRIAL		treated
EM04115	NCBI:4565	Triticum	aestivum	subsp. aestivum	EM04115	gnpis_pui:unknown:Wheat:EM04115	sample collection	EM04115itkt	VIRTUAL_TRIAL		treated
EM04145	NCBI:4565	Triticum	aestivum	subsp. aestivum	32776	https://doi.org/10.15454/VQLTLY	sample collection	EM04145itkt	VIRTUAL_TRIAL		treated
EM04149	NCBI:4565	Triticum	aestivum	subsp. aestivum	EM04149	gnpis_pui:unknown:Wheat:EM04149	sample collection	EM04149itkt	VIRTUAL_TRIAL		treated
EM04181	NCBI:4565	Triticum	aestivum	subsp. aestivum	37281	https://doi.org/10.15454/5QJOWB	sample collection	EM04181itkt	VIRTUAL_TRIAL		treated
EM04187	NCBI:4565	Triticum	aestivum	subsp. aestivum	EM04187	gnpis_pui:unknown:Wheat:EM04187	sample collection	EM04187itkt	VIRTUAL_TRIAL		treated
FARANDOLE	NCBI:4565	Triticum	aestivum	subsp. aestivum	20225	https://doi.org/10.15454/FYPHOO	sample collection	Farandoleitkt	VIRTUAL_TRIAL		treated
LM04003	NCBI:4565	Triticum	aestivum	subsp. aestivum	LM04003	gnpis_pui:unknown:Wheat:LM04003	sample collection	LM04003itkt	VIRTUAL_TRIAL		treated
LM04010	NCBI:4565	Triticum	aestivum	subsp. aestivum	LM04010	gnpis_pui:unknown:Wheat:LM04010	sample collection	LM04010itkt	VIRTUAL_TRIAL		treated
LM04017	NCBI:4565	Triticum	aestivum	subsp. aestivum	LM04017	gnpis_pui:unknown:Wheat:LM04017	sample collection	LM04017itkt	VIRTUAL_TRIAL		treated
LM04022	NCBI:4565	Triticum	aestivum	subsp. aestivum	LM04022	gnpis_pui:unknown:Wheat:LM04022	sample collection	LM04022itkt	VIRTUAL_TRIAL		treated
ORVANTIS	NCBI:4565	Triticum	aestivum	subsp. aestivum	14088	https://doi.org/10.15454/CYMFDY	sample collection	Orvantisitkt	VIRTUAL_TRIAL		treated
RE03012	NCBI:4565	Triticum	aestivum	subsp. aestivum	RE03012	gnpis_pui:unknown:Wheat:RE03012	sample collection	RE03012itkt	VIRTUAL_TRIAL		treated
RE03019	NCBI:4565	Triticum	aestivum	subsp. aestivum	28973	https://doi.org/10.15454/NMOYD6	sample collection	RE03019itkt	VIRTUAL_TRIAL		treated
RE03034	NCBI:4565	Triticum	aestivum	subsp. aestivum	RE03034	gnpis_pui:unknown:Wheat:RE03034	sample collection	RE03034itkt	VIRTUAL_TRIAL		treated
RE03099	NCBI:4565	Triticum	aestivum	subsp. aestivum	RE03099	gnpis_pui:unknown:Wheat:RE03099	sample collection	RE03099itkt	VIRTUAL_TRIAL		treated
RE04004	NCBI:4565	Triticum	aestivum	subsp. aestivum	RE04004	gnpis_pui:unknown:Wheat:RE04004	sample collection	RE04004itkt	VIRTUAL_TRIAL		treated
RE04005	NCBI:4565	Triticum	aestivum	subsp. aestivum	RE04005	gnpis_pui:unknown:Wheat:RE04005	sample collection	RE04005itkt	VIRTUAL_TRIAL		treated
RE04008	NCBI:4565	Triticum	aestivum	subsp. aestivum	RE04008	gnpis_pui:unknown:Wheat:RE04008	sample collection	RE04008itkt	VIRTUAL_TRIAL		treated
RE04009	NCBI:4565	Triticum	aestivum	subsp. aestivum	28975	https://doi.org/10.15454/6V5ULG	sample collection	RE04009itkt	VIRTUAL_TRIAL		treated
RE04012	NCBI:4565	Triticum	aestivum	subsp. aestivum	RE04012	gnpis_pui:unknown:Wheat:RE04012	sample collection	RE04012itkt	VIRTUAL_TRIAL		treated
RE04017	NCBI:4565	Triticum	aestivum	subsp. aestivum	RE04017	gnpis_pui:unknown:Wheat:RE04017	sample collection	RE04017itkt	VIRTUAL_TRIAL		treated
