observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	ht	prec	ps
2806491-2005	gnpis.lot:'RE04008'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNDAwOA==	RE04008	RE04008	2005	NA			76
2806492-2005	gnpis.lot:'RE04009'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZWNVVMRw==	RE04009	28975	2005	NA	86		
2806492-2005	gnpis.lot:'RE04009'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZWNVVMRw==	RE04009	28975	2005	NA		144	
2806492-2005	gnpis.lot:'RE04009'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZWNVVMRw==	RE04009	28975	2005	NA			74,2
2806501-2005	gnpis.lot:'EM04149'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNDE0OQ==	EM04149	EM04149	2005	NA	85		
2806501-2005	gnpis.lot:'EM04149'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNDE0OQ==	EM04149	EM04149	2005	NA		144,5	
2806501-2005	gnpis.lot:'EM04149'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNDE0OQ==	EM04149	EM04149	2005	NA			78,8
2806520-2005	gnpis.lot:'DI05006'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwNg==	DI05006	DI05006	2005	NA	69		
2806520-2005	gnpis.lot:'DI05006'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwNg==	DI05006	DI05006	2005	NA		145,5	
2806520-2005	gnpis.lot:'DI05006'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwNg==	DI05006	DI05006	2005	NA			72,1
2806519-2005	gnpis.lot:'DI05007'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwNw==	DI05007	DI05007	2005	NA	79		
2806519-2005	gnpis.lot:'DI05007'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwNw==	DI05007	DI05007	2005	NA		148	
2806519-2005	gnpis.lot:'DI05007'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwNw==	DI05007	DI05007	2005	NA			73,5
2806511-2005	gnpis.lot:'EM04181'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVRSk9XQg==	EM04181	37281	2005	NA	78,5		
2806511-2005	gnpis.lot:'EM04181'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVRSk9XQg==	EM04181	37281	2005	NA		142	
2806511-2005	gnpis.lot:'EM04181'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVRSk9XQg==	EM04181	37281	2005	NA			74
2806497-2005	gnpis.lot:'CF04264'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNDI2NA==	CF04264	CF04264	2005	NA	90,5		
2806497-2005	gnpis.lot:'CF04264'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNDI2NA==	CF04264	CF04264	2005	NA		147	
2806497-2005	gnpis.lot:'CF04264'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNDI2NA==	CF04264	CF04264	2005	NA			70,3
2806527-2005	gnpis.lot:'CF03092'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMzA5Mg==	CF03092	CF03092	2005	NA	81		
2806527-2005	gnpis.lot:'CF03092'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMzA5Mg==	CF03092	CF03092	2005	NA		144,5	
2806527-2005	gnpis.lot:'CF03092'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMzA5Mg==	CF03092	CF03092	2005	NA			73,9
2806495-2005	gnpis.lot:'LM04010'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6TE0wNDAxMA==	LM04010	LM04010	2005	NA	74,5		
2806495-2005	gnpis.lot:'LM04010'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6TE0wNDAxMA==	LM04010	LM04010	2005	NA		142	
2806495-2005	gnpis.lot:'LM04010'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6TE0wNDAxMA==	LM04010	LM04010	2005	NA			70,4
2806489-2005	gnpis.lot:'RE04004'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNDAwNA==	RE04004	RE04004	2005	NA	80,5		
2806489-2005	gnpis.lot:'RE04004'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNDAwNA==	RE04004	RE04004	2005	NA		146,5	
2806489-2005	gnpis.lot:'RE04004'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNDAwNA==	RE04004	RE04004	2005	NA			69,3
2806528-2005	gnpis.lot:'RE03099'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMzA5OQ==	RE03099	RE03099	2005	NA	78,5		
2806528-2005	gnpis.lot:'RE03099'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMzA5OQ==	RE03099	RE03099	2005	NA		144,5	
2806528-2005	gnpis.lot:'RE03099'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMzA5OQ==	RE03099	RE03099	2005	NA			75,4
2806508-2005	gnpis.lot:'Charger'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBBTERRQQ==	CHARGER	13431	2005	NA	70		
2806508-2005	gnpis.lot:'Charger'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBBTERRQQ==	CHARGER	13431	2005	NA		143	
2806508-2005	gnpis.lot:'Charger'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBBTERRQQ==	CHARGER	13431	2005	NA			71,9
2806512-2005	gnpis.lot:'CF03326'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMzMyNg==	CF03326	CF03326	2005	NA	86,5		
2806512-2005	gnpis.lot:'CF03326'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMzMyNg==	CF03326	CF03326	2005	NA		143,5	
2806512-2005	gnpis.lot:'CF03326'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMzMyNg==	CF03326	CF03326	2005	NA			72,9
2806502-2005	gnpis.lot:'EM04081'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JSR1VZVw==	EM04081	29882	2005	NA	87,5		
2806502-2005	gnpis.lot:'EM04081'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JSR1VZVw==	EM04081	29882	2005	NA		147	
2806502-2005	gnpis.lot:'EM04081'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JSR1VZVw==	EM04081	29882	2005	NA			74,8
2806522-2005	gnpis.lot:'DI05004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0hUWU9HWg==	DI05004	29888	2005	NA	86		
2806522-2005	gnpis.lot:'DI05004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0hUWU9HWg==	DI05004	29888	2005	NA		145	
2806522-2005	gnpis.lot:'DI05004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0hUWU9HWg==	DI05004	29888	2005	NA			71,1
2806517-2005	gnpis.lot:'DI05009'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwOQ==	DI05009	DI05009	2005	NA	72,5		
2806517-2005	gnpis.lot:'DI05009'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwOQ==	DI05009	DI05009	2005	NA		144,5	
2806517-2005	gnpis.lot:'DI05009'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwOQ==	DI05009	DI05009	2005	NA			77,7
2806523-2005	gnpis.lot:'DI05003'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwMw==	DI05003	DI05003	2005	NA	80		
2806523-2005	gnpis.lot:'DI05003'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwMw==	DI05003	DI05003	2005	NA		145,5	
2806523-2005	gnpis.lot:'DI05003'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwMw==	DI05003	DI05003	2005	NA			73,8
2806507-2005	gnpis.lot:'RE04012'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNDAxMg==	RE04012	RE04012	2005	NA	77,5		
2806507-2005	gnpis.lot:'RE04012'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNDAxMg==	RE04012	RE04012	2005	NA		144	
2806507-2005	gnpis.lot:'RE04012'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNDAxMg==	RE04012	RE04012	2005	NA			74,3
2806496-2005	gnpis.lot:'LM04017'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6TE0wNDAxNw==	LM04017	LM04017	2005	NA	78,5		
2806496-2005	gnpis.lot:'LM04017'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6TE0wNDAxNw==	LM04017	LM04017	2005	NA		141	
2806496-2005	gnpis.lot:'LM04017'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6TE0wNDAxNw==	LM04017	LM04017	2005	NA			75,1
2806504-2005	gnpis.lot:'RE04017'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNDAxNw==	RE04017	RE04017	2005	NA	79,5		
2806504-2005	gnpis.lot:'RE04017'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNDAxNw==	RE04017	RE04017	2005	NA		146	
2806504-2005	gnpis.lot:'RE04017'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNDAxNw==	RE04017	RE04017	2005	NA			71,3
2806526-2005	gnpis.lot:'LM04022'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6TE0wNDAyMg==	LM04022	LM04022	2005	NA	79,5		
2806526-2005	gnpis.lot:'LM04022'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6TE0wNDAyMg==	LM04022	LM04022	2005	NA		147,5	
2806526-2005	gnpis.lot:'LM04022'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6TE0wNDAyMg==	LM04022	LM04022	2005	NA			67,8
2806499-2005	gnpis.lot:'EM04145'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZRTFRMWQ==	EM04145	32776	2005	NA	76,5		
2806499-2005	gnpis.lot:'EM04145'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZRTFRMWQ==	EM04145	32776	2005	NA		143,5	
2806499-2005	gnpis.lot:'EM04145'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZRTFRMWQ==	EM04145	32776	2005	NA			75
2806525-2005	gnpis.lot:'DI05001'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwMQ==	DI05001	DI05001	2005	NA	75		
2806525-2005	gnpis.lot:'DI05001'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwMQ==	DI05001	DI05001	2005	NA		145,5	
2806525-2005	gnpis.lot:'DI05001'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwMQ==	DI05001	DI05001	2005	NA			70
2806515-2005	gnpis.lot:'CF04215'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNDIxNQ==	CF04215	CF04215	2005	NA	78		
2806515-2005	gnpis.lot:'CF04215'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNDIxNQ==	CF04215	CF04215	2005	NA		146,5	
2806515-2005	gnpis.lot:'CF04215'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNDIxNQ==	CF04215	CF04215	2005	NA			74,4
2806503-2005	gnpis.lot:'EM04115'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNDExNQ==	EM04115	EM04115	2005	NA	79		
2806503-2005	gnpis.lot:'EM04115'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNDExNQ==	EM04115	EM04115	2005	NA		143	
2806503-2005	gnpis.lot:'EM04115'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNDExNQ==	EM04115	EM04115	2005	NA			73,9
2806521-2005	gnpis.lot:'DI05005'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwNQ==	DI05005	DI05005	2005	NA	79		
2806521-2005	gnpis.lot:'DI05005'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwNQ==	DI05005	DI05005	2005	NA		147,5	
2806521-2005	gnpis.lot:'DI05005'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwNQ==	DI05005	DI05005	2005	NA			71,3
2806500-2005	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2005	NA	77,5		
2806500-2005	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2005	NA		141,5	
2806500-2005	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2005	NA			78
2806513-2005	gnpis.lot:'Orvantis'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NZTUZEWQ==	ORVANTIS	14088	2005	NA	81		
2806513-2005	gnpis.lot:'Orvantis'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NZTUZEWQ==	ORVANTIS	14088	2005	NA		141,5	
2806513-2005	gnpis.lot:'Orvantis'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NZTUZEWQ==	ORVANTIS	14088	2005	NA			76,9
2806518-2005	gnpis.lot:'DI05008'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwOA==	DI05008	DI05008	2005	NA	76		
2806518-2005	gnpis.lot:'DI05008'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwOA==	DI05008	DI05008	2005	NA		147,5	
2806518-2005	gnpis.lot:'DI05008'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwOA==	DI05008	DI05008	2005	NA			74,1
2806516-2005	gnpis.lot:'RE03019'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05NT1lENg==	RE03019	28973	2005	NA	89,5		
2806516-2005	gnpis.lot:'RE03019'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05NT1lENg==	RE03019	28973	2005	NA		144	
2806516-2005	gnpis.lot:'RE03019'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05NT1lENg==	RE03019	28973	2005	NA			75,9
2806490-2005	gnpis.lot:'RE04005'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNDAwNQ==	RE04005	RE04005	2005	NA	89		
2806490-2005	gnpis.lot:'RE04005'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNDAwNQ==	RE04005	RE04005	2005	NA		144	
2806490-2005	gnpis.lot:'RE04005'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNDAwNQ==	RE04005	RE04005	2005	NA			74,7
2806494-2005	gnpis.lot:'RE03012'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMzAxMg==	RE03012	RE03012	2005	NA	89,5		
2806494-2005	gnpis.lot:'RE03012'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMzAxMg==	RE03012	RE03012	2005	NA		146	
2806494-2005	gnpis.lot:'RE03012'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMzAxMg==	RE03012	RE03012	2005	NA			77,7
2806509-2005	gnpis.lot:'RE03034'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMzAzNA==	RE03034	RE03034	2005	NA	97		
2806509-2005	gnpis.lot:'RE03034'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMzAzNA==	RE03034	RE03034	2005	NA		148,5	
2806509-2005	gnpis.lot:'RE03034'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMzAzNA==	RE03034	RE03034	2005	NA			75,1
2806493-2005	gnpis.lot:'CF04004'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNDAwNA==	CF04004	CF04004	2005	NA	85		
2806493-2005	gnpis.lot:'CF04004'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNDAwNA==	CF04004	CF04004	2005	NA		145	
2806493-2005	gnpis.lot:'CF04004'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNDAwNA==	CF04004	CF04004	2005	NA			75
