observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	rj	fusa	rb
2832613-2008	gnpis.lot:'AO08107'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JRQlQ0Vg==	AO08107	36746	2008	NA	1		
2832613-2008	gnpis.lot:'AO08107'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JRQlQ0Vg==	AO08107	36746	2008	NA		6	
2832606-2008	gnpis.lot:'DI08003'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwMw==	DI08003	DI08003	2008	NA			1
2832606-2008	gnpis.lot:'DI08003'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwMw==	DI08003	DI08003	2008	NA	1		
2832606-2008	gnpis.lot:'DI08003'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwMw==	DI08003	DI08003	2008	NA		5,5	
2832614-2008	gnpis.lot:'RE07002'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAwMg==	RE07002	RE07002	2008	NA			1
2832614-2008	gnpis.lot:'RE07002'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAwMg==	RE07002	RE07002	2008	NA	1		
2832614-2008	gnpis.lot:'RE07002'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAwMg==	RE07002	RE07002	2008	NA		8	
2832598-2008	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2008	NA			1
2832598-2008	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2008	NA	1		
2832598-2008	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2008	NA		3,5	
2832582-2008	gnpis.lot:'RE07005'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAwNQ==	RE07005	RE07005	2008	NA			1
2832582-2008	gnpis.lot:'RE07005'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAwNQ==	RE07005	RE07005	2008	NA	1		
2832582-2008	gnpis.lot:'RE07005'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAwNQ==	RE07005	RE07005	2008	NA		9	
2832609-2008	gnpis.lot:'DI08006'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwNg==	DI08006	DI08006	2008	NA			1
2832609-2008	gnpis.lot:'DI08006'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwNg==	DI08006	DI08006	2008	NA	1		
2832609-2008	gnpis.lot:'DI08006'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwNg==	DI08006	DI08006	2008	NA		4,5	
2832591-2008	gnpis.lot:'RE07004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tCNVdVNw==	RE07004	37296	2008	NA			1
2832591-2008	gnpis.lot:'RE07004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tCNVdVNw==	RE07004	37296	2008	NA	1		
2832591-2008	gnpis.lot:'RE07004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tCNVdVNw==	RE07004	37296	2008	NA		9	
2832607-2008	gnpis.lot:'DI08004'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwNA==	DI08004	DI08004	2008	NA			1
2832607-2008	gnpis.lot:'DI08004'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwNA==	DI08004	DI08004	2008	NA	1		
2832607-2008	gnpis.lot:'DI08004'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwNA==	DI08004	DI08004	2008	NA		8	
2832583-2008	gnpis.lot:'Premio'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVZQjQ0Sw==	PREMIO	29855	2008	NA			1
2832583-2008	gnpis.lot:'Premio'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVZQjQ0Sw==	PREMIO	29855	2008	NA	1		
2832583-2008	gnpis.lot:'Premio'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVZQjQ0Sw==	PREMIO	29855	2008	NA		7	
2832584-2008	gnpis.lot:'EM07186'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNzE4Ng==	EM07186	EM07186	2008	NA			1
2832584-2008	gnpis.lot:'EM07186'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNzE4Ng==	EM07186	EM07186	2008	NA	1		
2832584-2008	gnpis.lot:'EM07186'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNzE4Ng==	EM07186	EM07186	2008	NA		4	
2832585-2008	gnpis.lot:'DI08007'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwNw==	DI08007	DI08007	2008	NA			1
2832585-2008	gnpis.lot:'DI08007'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwNw==	DI08007	DI08007	2008	NA	2		
2832585-2008	gnpis.lot:'DI08007'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwNw==	DI08007	DI08007	2008	NA		3	
2832611-2008	gnpis.lot:'RE07025'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0daTUpCRQ==	RE07025	36815	2008	NA			1
2832611-2008	gnpis.lot:'RE07025'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0daTUpCRQ==	RE07025	36815	2008	NA	1		
2832611-2008	gnpis.lot:'RE07025'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0daTUpCRQ==	RE07025	36815	2008	NA		5	
2832592-2008	gnpis.lot:'RE07017'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAxNw==	RE07017	RE07017	2008	NA			1
2832592-2008	gnpis.lot:'RE07017'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAxNw==	RE07017	RE07017	2008	NA	1		
2832592-2008	gnpis.lot:'RE07017'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAxNw==	RE07017	RE07017	2008	NA		5	
2832619-2008	gnpis.lot:'CF07008'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NMTFRXOA==	CF07008	36765	2008	NA			1
2832619-2008	gnpis.lot:'CF07008'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NMTFRXOA==	CF07008	36765	2008	NA	1		
2832619-2008	gnpis.lot:'CF07008'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NMTFRXOA==	CF07008	36765	2008	NA		4	
2832594-2008	gnpis.lot:'Grapeli'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRURktNMA==	GRAPELI	36801	2008	NA			1
2832594-2008	gnpis.lot:'Grapeli'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRURktNMA==	GRAPELI	36801	2008	NA	1		
2832594-2008	gnpis.lot:'Grapeli'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRURktNMA==	GRAPELI	36801	2008	NA		5	
2832600-2008	gnpis.lot:'CF07018'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzcyUEhIWQ==	CF07018	36766	2008	NA			1
2832600-2008	gnpis.lot:'CF07018'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzcyUEhIWQ==	CF07018	36766	2008	NA	1		
2832600-2008	gnpis.lot:'CF07018'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzcyUEhIWQ==	CF07018	36766	2008	NA		2,5	
2832597-2008	gnpis.lot:'EM07118'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNzExOA==	EM07118	EM07118	2008	NA			1
2832597-2008	gnpis.lot:'EM07118'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNzExOA==	EM07118	EM07118	2008	NA	1		
2832597-2008	gnpis.lot:'EM07118'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNzExOA==	EM07118	EM07118	2008	NA		4	
2832605-2008	gnpis.lot:'DI08002'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwMg==	DI08002	DI08002	2008	NA			1
2832605-2008	gnpis.lot:'DI08002'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwMg==	DI08002	DI08002	2008	NA	4		
2832605-2008	gnpis.lot:'DI08002'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwMg==	DI08002	DI08002	2008	NA		3,5	
2832603-2008	gnpis.lot:'Caphorn'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lINEk4Ug==	CAPHORN	20443	2008	NA			1
2832603-2008	gnpis.lot:'Caphorn'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lINEk4Ug==	CAPHORN	20443	2008	NA	2		
2832603-2008	gnpis.lot:'Caphorn'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lINEk4Ug==	CAPHORN	20443	2008	NA		8,5	
2832595-2008	gnpis.lot:'Toisondor'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1M3V1pJTQ==	TOISONDOR	23880	2008	NA			1
2832595-2008	gnpis.lot:'Toisondor'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1M3V1pJTQ==	TOISONDOR	23880	2008	NA	3		
2832595-2008	gnpis.lot:'Toisondor'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1M3V1pJTQ==	TOISONDOR	23880	2008	NA		8	
2832589-2008	gnpis.lot:'RE07013'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAxMw==	RE07013	RE07013	2008	NA			1
2832589-2008	gnpis.lot:'RE07013'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAxMw==	RE07013	RE07013	2008	NA	1		
2832589-2008	gnpis.lot:'RE07013'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAxMw==	RE07013	RE07013	2008	NA		5	
2832599-2008	gnpis.lot:'CF07037'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNzAzNw==	CF07037	CF07037	2008	NA			1
2832599-2008	gnpis.lot:'CF07037'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNzAzNw==	CF07037	CF07037	2008	NA	1		
2832599-2008	gnpis.lot:'CF07037'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNzAzNw==	CF07037	CF07037	2008	NA		8	
2832604-2008	gnpis.lot:'DI08001'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwMQ==	DI08001	DI08001	2008	NA			1
2832604-2008	gnpis.lot:'DI08001'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwMQ==	DI08001	DI08001	2008	NA	1		
2832604-2008	gnpis.lot:'DI08001'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwMQ==	DI08001	DI08001	2008	NA		6,5	
2832616-2008	gnpis.lot:'CF07021'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JUWUVWTQ==	CF07021	36767	2008	NA			1
2832616-2008	gnpis.lot:'CF07021'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JUWUVWTQ==	CF07021	36767	2008	NA	3		
2832616-2008	gnpis.lot:'CF07021'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JUWUVWTQ==	CF07021	36767	2008	NA		2	
2832586-2008	gnpis.lot:'EM07085'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNzA4NQ==	EM07085	EM07085	2008	NA			1
2832586-2008	gnpis.lot:'EM07085'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNzA4NQ==	EM07085	EM07085	2008	NA	1		
2832586-2008	gnpis.lot:'EM07085'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNzA4NQ==	EM07085	EM07085	2008	NA		8	
2832602-2008	gnpis.lot:'Sankara'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1I1VkpXNg==	SANKARA	23878	2008	NA			1
2832602-2008	gnpis.lot:'Sankara'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1I1VkpXNg==	SANKARA	23878	2008	NA	1		
2832602-2008	gnpis.lot:'Sankara'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1I1VkpXNg==	SANKARA	23878	2008	NA		7	
2832593-2008	gnpis.lot:'RE07019'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L09QWlpHWA==	RE07019	35714	2008	NA			1
2832593-2008	gnpis.lot:'RE07019'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L09QWlpHWA==	RE07019	35714	2008	NA	1		
2832593-2008	gnpis.lot:'RE07019'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L09QWlpHWA==	RE07019	35714	2008	NA		4	
2832612-2008	gnpis.lot:'RE07006'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAwNg==	RE07006	RE07006	2008	NA			1
2832612-2008	gnpis.lot:'RE07006'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAwNg==	RE07006	RE07006	2008	NA	1		
2832612-2008	gnpis.lot:'RE07006'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAwNg==	RE07006	RE07006	2008	NA		7,5	
2832615-2008	gnpis.lot:'AO08202'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6QU8wODIwMg==	AO08202	AO08202	2008	NA			1
2832615-2008	gnpis.lot:'AO08202'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6QU8wODIwMg==	AO08202	AO08202	2008	NA	4		
2832615-2008	gnpis.lot:'AO08202'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6QU8wODIwMg==	AO08202	AO08202	2008	NA		9	
2832610-2008	gnpis.lot:'Mendel'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ROSTNJVw==	MENDEL	23874	2008	NA			1
2832610-2008	gnpis.lot:'Mendel'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ROSTNJVw==	MENDEL	23874	2008	NA	1		
2832610-2008	gnpis.lot:'Mendel'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ROSTNJVw==	MENDEL	23874	2008	NA		8	
2832590-2008	gnpis.lot:'RE07015'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAxNQ==	RE07015	RE07015	2008	NA			1
2832590-2008	gnpis.lot:'RE07015'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAxNQ==	RE07015	RE07015	2008	NA	1		
2832590-2008	gnpis.lot:'RE07015'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAxNQ==	RE07015	RE07015	2008	NA		7,5	
2832617-2008	gnpis.lot:'CF07022'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NFVVZTUg==	CF07022	36768	2008	NA			2
2832617-2008	gnpis.lot:'CF07022'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NFVVZTUg==	CF07022	36768	2008	NA	1		
2832617-2008	gnpis.lot:'CF07022'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NFVVZTUg==	CF07022	36768	2008	NA		4	
